date,ticker,action,price,shares,weight,combo_rank,rebalance_id,pnl,reason
2000-01-04,VMC,BUY,26.86955714377628,1860.8419830834966,0.04999999999999999,1.0,1,0.0,rebalance
2000-01-04,EFX,BUY,10.177480829933476,4914.376824979137,0.04999999999999999,2.0,1,0.0,rebalance
2000-01-04,BSX,BUY,11.4375,4377.979104504479,0.04999999999999999,3.0,1,0.0,rebalance
2000-01-04,STE,BUY,7.2796550989151,6880.383275292272,0.04999999999999999,4.0,1,0.0,rebalance
2000-01-04,DGX,BUY,5.261259684234173,9519.928591509431,0.04999999999999999,5.0,1,0.0,rebalance
2000-01-04,HST,BUY,3.301095485687256,15177.558113553661,0.04999999999999999,6.0,1,0.0,rebalance
2000-01-04,BKR,BUY,8.879332100903547,5644.7110413233395,0.04999999999999999,7.0,1,0.0,rebalance
2000-01-04,IBM,BUY,55.29724415441322,906.8206900311382,0.04999999999999999,8.0,1,0.0,rebalance
2000-01-04,SPGI,BUY,17.387273591856115,2886.517696554918,0.04999999999999999,9.0,1,0.0,rebalance
2000-01-04,GD,BUY,14.701200807007133,3415.389621223265,0.04999999999999999,10.0,1,0.0,rebalance
2000-01-04,DIS,BUY,22.50547064360345,2226.7898949572036,0.04999999999999999,11.0,1,0.0,rebalance
2000-01-04,AMGN,BUY,41.37996826171875,1210.8398298963343,0.04999999999999999,12.0,1,0.0,rebalance
2000-01-04,CMI,BUY,6.437033648076265,7789.674299117127,0.04999999999999999,13.0,1,0.0,rebalance
2000-01-04,TXT,BUY,28.60230872467274,1753.2050004490898,0.04999999999999999,14.0,1,0.0,rebalance
2000-01-04,OKE,BUY,1.5385687812043696,32592.440839241972,0.04999999999999999,15.0,1,0.0,rebalance
2000-01-04,CHRW,BUY,5.881714422052557,8527.854774281088,0.04999999999999999,16.0,1,0.0,rebalance
2000-01-04,INTU,BUY,24.97550428182927,2009.934141302134,0.04999999999999999,17.0,1,0.0,rebalance
2000-01-04,KO,BUY,13.435227902096635,3746.5999628294403,0.04999999999999999,18.0,1,0.0,rebalance
2000-01-04,UNP,BUY,6.40318191605945,7861.15792481113,0.04999999999999999,19.0,1,0.0,rebalance
2000-01-04,CCL,BUY,28.697175246018627,1754.0550529349207,0.04999999999999999,20.0,1,0.0,rebalance
2000-02-17,CCL,STOP,19.483873371131914,1754.0550529349207,0.0,,0,-0.321052570362825,risk_exit
2000-03-08,CMI,STOP,4.371806885395012,7789.674299117127,0.0,,0,-0.320835166567516,risk_exit
2000-03-15,TXT,STOP,19.818727791241393,1753.2050004490898,0.0,,0,-0.307093424449842,risk_exit
2000-04-04,VMC,BUY,32.3959174975652,306.8062447732939,0.04999999999999999,1.0,2,0.0,rebalance
2000-04-04,EFX,BUY,12.090201317685322,750.2546621441634,0.04999999999999999,2.0,2,0.0,rebalance
2000-04-04,BSX,BUY,10.4375,445.2912607082508,0.04999999999999999,3.0,2,0.0,rebalance
2000-04-04,STE,BUY,7.460517175904997,132.75493436338456,0.04999999999999999,4.0,2,0.0,rebalance
2000-04-04,DGX,BUY,7.0150102839019475,2343.8169412492316,0.04999999999999999,5.0,2,0.0,rebalance
2000-04-04,HST,BUY,3.633419662801277,1323.0606242218928,0.04999999999999999,6.0,2,0.0,rebalance
2000-04-04,BKR,BUY,13.759757605465976,1986.152930954553,0.04999999999999999,7.0,2,0.0,rebalance
2000-04-04,IBM,BUY,58.99725163592471,53.40544377149729,0.04999999999999999,8.0,2,0.0,rebalance
2000-04-04,SPGI,BUY,13.79434899922983,763.4193679065315,0.04999999999999999,9.0,2,0.0,rebalance
2000-04-04,GD,BUY,14.675168190048348,14.88615241538082,0.04999999999999999,10.0,2,0.0,rebalance
2000-04-04,DIS,BUY,31.367004014260008,621.9214703794689,0.04999999999999999,11.0,2,0.0,rebalance
2000-04-04,AMGN,BUY,40.128548741472656,43.626524450711486,0.04999999999999999,12.0,2,0.0,rebalance
